date,momentum_return,DIV_return
2007-04-01,0.06111628684749296,0.042810734623079945
2007-05-01,0.017251525850851657,0.022213789782589664
2007-06-01,-0.009338057436336325,0.02743935790605453
2007-07-01,0.06666860762892513,-0.04209117786497803
2007-08-01,0.0418838948529046,-0.004693925718985857
2007-09-01,-0.04214111406391808,0.02459998269724558
2007-10-01,0.04934982947655363,0.06632220531389817
2007-11-01,0.007174182077654835,-0.05962676502798912
2007-12-01,0.07008093295948528,-0.010496443239008993
2008-01-01,-0.026155154699160632,-0.1379373266579152
2008-02-01,0.08816414477470225,0.00905440193943316
2008-03-01,0.04118697617359161,-0.032758394785211184
2008-04-01,0.06840494732519979,0.04190599137357553
2008-05-01,0.06015717263207205,-0.003675145405254576
2008-06-01,0.007804436865612267,-0.04566928383416667
2008-07-01,0.05090875535338643,-0.04227776683386275
2008-08-01,-0.080318484563433,0.030245509884310948
2008-09-01,0.09720486618120089,-0.1078840463362267
2008-10-01,0.020836167613431406,-0.22075930641042513
2008-11-01,0.022688206148878117,-0.027916794073507716
2008-12-01,0.013870375462295921,0.021306883867995525
2009-01-01,0.058104308580484376,-0.0907034161337926
2009-02-01,0.024650968996377004,-0.10095896082589821
2009-03-01,-0.02491362461372866,0.027241070918259447
2009-04-01,0.015330165750037858,0.11046928562838679
2009-05-01,0.008726775708831173,0.06242015056841675
2009-06-01,0.05448744263357748,-0.010258040299649199
2009-07-01,-0.021591479166529037,0.0628736143412275
2009-08-01,0.029613568380048007,0.04465177201598866
2009-09-01,-0.041021362344390674,0.029474231878665852
2009-10-01,0.005506755380595527,-0.00644006749811429
2009-11-01,0.030323878018839942,-0.0028704179264093643
2009-12-01,0.0016888409698240826,0.05514791894925114
2010-01-01,0.013527517128662389,-0.05595554973809082
2010-02-01,0.02816897642521541,0.006900963325756697
2010-03-01,0.0071454135242638855,0.09617511882970048
2010-04-01,-0.005142823005639258,-0.0384561565714931
2010-05-01,0.05675542122078152,-0.11309041806953607
2010-06-01,0.0051802803180929086,-0.013826086203537431
2010-07-01,0.01638890349540087,0.03665202005331233
2010-08-01,0.018350371068322113,-0.05071691937602293
2010-09-01,0.011812421608018521,0.09015110749585147
2010-10-01,0.039431868716504365,0.018622271799011905
2010-11-01,0.005923039403518722,-0.02981467320419585
2010-12-01,0.036813686453447264,0.037918132204981206
2011-01-01,0.014865261511355168,0.000980116080287472
2011-02-01,0.03160773851862701,0.018353911188177523
2011-03-01,-0.030821455365724323,-0.018946769553067566
2011-04-01,0.046671257143828915,0.011862420621324473
2011-05-01,0.03524619185563275,-0.017959899497556865
