fic;date;country;currency;mportret;mportretx
AUS;2007-06-29;AUSTRALIA;AUD;0.000746153884241485;-0.007796735932751653
AUS;2007-07-31;AUSTRALIA;AUD;-0.01753551696743771;-0.01770813686987616
AUS;2007-08-31;AUSTRALIA;AUD;0.01284458626317697;0.005377195140691571
AUS;2007-09-28;AUSTRALIA;AUD;0.05433084017319634;0.04986404445611448
AUS;2007-10-31;AUSTRALIA;AUD;0.03305202597247114;0.03212964940878837
AUS;2007-11-30;AUSTRALIA;AUD;-0.03602088185919505;-0.03987951620383179
AUS;2007-12-31;AUSTRALIA;AUD;-0.02099033169029985;-0.02994463121475677
AUS;2008-01-31;AUSTRALIA;AUD;-0.113562337335932;-0.1142256959510924
AUS;2008-02-29;AUSTRALIA;AUD;-0.002620175161792027;-0.009007454463369924
AUS;2008-03-31;AUSTRALIA;AUD;-0.04057157050503946;-0.04666850157254177
AUS;2008-04-30;AUSTRALIA;AUD;0.04836209475252828;0.04743024983721988
AUS;2008-05-30;AUSTRALIA;AUD;0.02682355407145676;0.02286820002365908
AUS;2008-06-30;AUSTRALIA;AUD;-0.07644174227633715;-0.07952744030142955
AUS;2008-07-31;AUSTRALIA;AUD;-0.05166776177535415;-0.05212828421349314
AUS;2008-08-29;AUSTRALIA;AUD;0.04212055588191488;0.03303616368982842
AUS;2008-09-30;AUSTRALIA;AUD;-0.09528051767834333;-0.1009759134373066
AUS;2008-10-31;AUSTRALIA;AUD;-0.1421209537595365;-0.1431139524817119
AUS;2008-11-28;AUSTRALIA;AUD;-0.06273984775030139;-0.06962999206545517
AUS;2008-12-31;AUSTRALIA;AUD;0.003887003245039322;0.001090210598844843
AUS;2009-01-30;AUSTRALIA;AUD;-0.05036504190345381;-0.05045895529467259
AUS;2009-02-27;AUSTRALIA;AUD;-0.04897607177132746;-0.05881934980845638
AUS;2009-03-31;AUSTRALIA;AUD;0.07866129825697499;0.06872788918459016
AUS;2009-04-30;AUSTRALIA;AUD;0.06091857476966278;0.06034110763991141
