,Mean (ann) — Unhedged,Std Dev (ann) — Unhedged,Mean (ann) — Hedged,Std Dev (ann) — Hedged
AUSTRALIA,0.10424102197726876,0.17037032234318503,0.0741358098087718,0.13625807008453833
FRANCE,0.0797908803518927,0.17924799283804316,0.07931522916660586,0.16055495911274031
GERMANY,0.08662880604667562,0.1950874827183978,0.07848911337691392,0.17466876194893452
JAPAN,0.08077322494917735,0.18478087247896424,0.09619156315460113,0.16072998798519583
SWITZERLAND,0.035593834918687485,0.1582349757270275,0.07566279856909673,0.131708549227666
UNITED KINGDOM,0.054347772051035984,0.1544938507732912,0.057158275511802,0.13050237722215527
