,Mean (ann) — Unhedged,Std Dev (ann) — Unhedged,Mean (ann) — Hedged,Std Dev (ann) — Hedged
AUSTRALIA,0.10147402690487492,0.16224549529392454,0.0752712007262899,0.13510139175300107
FRANCE,0.0793490265249806,0.1743749204492641,0.07942174712275629,0.16043393985782975
GERMANY,0.0832564011010717,0.19020401041388668,0.07868742366525125,0.17466567516131978
JAPAN,0.08077322494917735,0.18478087247896424,0.09619156315460113,0.16072998798519583
SWITZERLAND,0.03855933931038529,0.14279586770479902,0.07479883311362627,0.13196581506338806
UNITED KINGDOM,0.051196386931822754,0.14744862102224005,0.057091828267097536,0.13067544223128622
