observation_date,EXSZUS
2024-02-01,0.8771
2024-03-01,0.8886
2024-04-01,0.9099
2024-05-01,0.9088
2024-06-01,0.8938
2024-07-01,0.8917
2024-08-01,0.8579
2024-09-01,0.8472
2024-10-01,0.8613
2024-11-01,0.8809
2024-12-01,0.8916
