observation_date,IR3TIB01CHM156N
2002-04-01,1.460646619047619943
2002-05-01,1.163493899999999526
2002-06-01,1.149594049999999923
2002-07-01,1.003061521739130102
2002-08-01,0.668342047619048030
2002-09-01,0.612999095238095038
2002-10-01,0.627853739130435073
2002-11-01,0.592497857142857076
2002-12-01,0.543389950000000010
2003-01-01,0.508735476190476099
2003-02-01,0.489237350000000015
2003-03-01,0.233193714285714004
2003-04-01,0.173780899999999988
2003-05-01,0.158508499999999997
2003-06-01,0.158394649999999998
2003-07-01,0.163599521739130005
2003-08-01,0.150866699999999992
2003-09-01,0.138722590909091004
2003-10-01,0.129131043478260987
2003-11-01,0.142832249999999994
2003-12-01,0.136828571428570994
2004-01-01,0.128493899999999994
2004-02-01,0.148034450000000012
2004-03-01,0.158294043478260898
2004-04-01,0.186749450000000011
2004-05-01,0.182353368421052903
2004-06-01,0.328464045454544995
2004-07-01,0.422401363636363991
2004-08-01,0.471912181818182008
2004-09-01,0.584377681818182060
2004-10-01,0.620791047619048020
2004-11-01,0.648510999999999949
2004-12-01,0.649346863636364069
2005-01-01,0.651069238095237868
2005-02-01,0.677186100000000013
2005-03-01,0.666316238095237878
2005-04-01,0.672952190476190037
2005-05-01,0.670662149999999957
2005-06-01,0.672201227272727020
2005-07-01,0.666276380952380953
2005-08-01,0.675881090909091098
2005-09-01,0.674919636363635944
2005-10-01,0.722154380952381048
2005-11-01,0.865552090909090910
2005-12-01,0.933075199999999993
2006-01-01,0.924489476190475945
2006-02-01,0.996760500000000049
2006-03-01,1.113199434782610187
2006-04-01,1.175502166666670067
2006-05-01,1.301992571428570056
2006-06-01,1.372707571428569917
2006-07-01,1.427695285714290163
2006-08-01,1.523088636363639781
2006-09-01,1.643369000000000080
2006-10-01,1.747380090909089967
2006-11-01,1.805961727272729966
2006-12-01,1.908407823529409519
2007-01-01,2.050469238095240065
2007-02-01,2.111321549999999991
2007-03-01,2.159874772727270020
2007-04-01,2.223866736842109670
2007-05-01,2.316838249999999988
2007-06-01,2.443718285714290062
2007-07-01,2.611727409090910168
2007-08-01,2.606720727272729743
2007-09-01,2.493454250000000094
2007-10-01,2.456701260869569747
2007-11-01,2.295043318181819725
2007-12-01,2.344315882352939973
2008-01-01,2.287502714285710059
2008-02-01,2.417456809523810257
2008-03-01,2.288128947368420096
2008-04-01,2.181226227272730078
2008-05-01,2.042815600000000398
2008-06-01,2.143727095238099789
2008-07-01,2.206895826086960000
