observation_date,IR3TIB01GBM156N
2002-04-01,4.17318999999999996
2002-05-01,4.15369999999999973
2002-06-01,4.17757999999999985
2002-07-01,4.06054000000000048
2002-08-01,3.98654000000000019
2002-09-01,3.98871999999999982
2002-10-01,3.96401000000000003
2002-11-01,3.97142000000000017
2002-12-01,4.01776999999999962
2003-01-01,3.98262999999999989
2003-02-01,3.75424999999999986
2003-03-01,3.65503000000000000
2003-04-01,3.64598000000000022
2003-05-01,3.63251999999999908
2003-06-01,3.63966000000000012
2003-07-01,3.49021999999999988
2003-08-01,3.52249000000000034
2003-09-01,3.69669999999999987
2003-10-01,3.80338000000000021
2003-11-01,3.98043000000000013
2003-12-01,4.01864000000000043
2004-01-01,4.05530999999999953
2004-02-01,4.16654000000000035
2004-03-01,4.29673000000000016
2004-04-01,4.39471999999999952
2004-05-01,4.52871999999999986
2004-06-01,4.78974000000000011
2004-07-01,4.85701999999999945
2004-08-01,4.96283999999999992
2004-09-01,4.94690000000000030
2004-10-01,4.90071000000000012
2004-11-01,4.88358999999999988
2004-12-01,4.87103000000000019
2005-01-01,4.87315999999999949
2005-02-01,4.89069000000000020
2005-03-01,4.98735999999999979
2005-04-01,4.94336000000000020
2005-05-01,4.89374999999999982
2005-06-01,4.84144000000000041
2005-07-01,4.65793999999999997
2005-08-01,4.59464999999999968
2005-09-01,4.59685999999999950
2005-10-01,4.58701000000000025
2005-11-01,4.61846999999999941
2005-12-01,4.63731999999999989
2006-01-01,4.60368000000000066
2006-02-01,4.58199000000000023
2006-03-01,4.58741000000000021
2006-04-01,4.62959999999999994
2006-05-01,4.70150000000000023
2006-06-01,4.73498000000000019
2006-07-01,4.73321999999999932
2006-08-01,4.94425000000000026
2006-09-01,5.02500999999999998
2006-10-01,5.13175999999999988
2006-11-01,5.22543999999999986
2006-12-01,5.29166999999999987
2007-01-01,5.48622999999999994
2007-02-01,5.56569999999999965
2007-03-01,5.54945999999999984
2007-04-01,5.64899000000000040
2007-05-01,5.76741999999999955
2007-06-01,5.88018000000000018
2007-07-01,6.02395999999999976
2007-08-01,6.41945999999999994
2007-09-01,6.64693999999999985
2007-10-01,6.27014000000000049
2007-11-01,6.40858000000000061
2007-12-01,6.35943000000000058
2008-01-01,5.65965000000000007
2008-02-01,5.64201999999999959
2008-03-01,5.89929000000000059
2008-04-01,5.91880999999999968
2008-05-01,5.82638999999999996
2008-06-01,5.92944000000000049
2008-07-01,5.83220000000000027
2008-08-01,5.76618999999999993
2008-09-01,5.91059999999999963
2008-10-01,6.13304000000000027
2008-11-01,4.44683999999999990
2008-12-01,3.17247000000000012
2009-01-01,2.34275999999999973
2009-02-01,2.09038000000000013
2009-03-01,1.83139000000000007
2009-04-01,1.53412999999999999
2009-05-01,1.35794999999999999
2009-06-01,1.24117000000000011
2009-07-01,1.00113000000000008
2009-08-01,0.77368999999999999
2009-09-01,0.60560000000000003
2009-10-01,0.57086999999999999
2009-11-01,0.60936000000000001
2009-12-01,0.60541000000000000
2010-01-01,0.61265000000000003
2010-02-01,0.63310000000000000
2010-03-01,0.64549000000000001
2010-04-01,0.65591999999999995
2010-05-01,0.69713000000000003
2010-06-01,0.72838999999999998
2010-07-01,0.73603000000000007
2010-08-01,0.73296000000000006
2010-09-01,0.72858999999999996
2010-10-01,0.73839999999999995
2010-11-01,0.73901000000000006
2010-12-01,0.74961999999999995
2011-01-01,0.76866000000000001
2011-02-01,0.79962000000000000
2011-03-01,0.80913000000000002
2011-04-01,0.82096000000000002
2011-05-01,0.82343999999999995
2011-06-01,0.82512000000000008
2011-07-01,0.82889999999999997
2011-08-01,0.85782000000000003
2011-09-01,0.91810000000000003
2011-10-01,0.96991000000000005
2011-11-01,1.01182000000000016
2011-12-01,1.06147999999999998
2012-01-01,1.08708999999999989
2012-02-01,1.07248999999999994
2012-03-01,1.03757000000000010
2012-04-01,1.01792000000000016
2012-05-01,1.00499999999999989
2012-06-01,0.94977999999999996
2012-07-01,0.81735000000000002
2012-08-01,0.70481000000000005
2012-09-01,0.64802999999999999
2012-10-01,0.54396999999999995
2012-11-01,0.52451999999999999
2012-12-01,0.51848000000000005
2013-01-01,0.51228000000000007
2013-02-01,0.50988000000000000
2013-03-01,0.50688000000000000
2013-04-01,0.50556999999999996
2013-05-01,0.50563000000000002
2013-06-01,0.50793999999999995
2013-07-01,0.50944000000000000
2013-08-01,0.51261999999999996
2013-09-01,0.51688000000000001
2013-10-01,0.51663000000000003
2013-11-01,0.52344000000000002
2013-12-01,0.52473999999999998
2014-01-01,0.52093000000000000
2014-02-01,0.52153000000000005
2014-03-01,0.52156999999999998
2014-04-01,0.52664999999999995
2014-05-01,0.52743999999999991
2014-06-01,0.54393999999999998
2014-07-01,0.55641000000000007
2014-08-01,0.56118999999999997
2014-09-01,0.56291000000000002
2014-10-01,0.55836000000000008
2014-11-01,0.55628000000000000
2014-12-01,0.55818000000000001
2015-01-01,0.56259999999999999
2015-02-01,0.56362999999999996
2015-03-01,0.56436000000000008
2015-04-01,0.56950000000000001
2015-05-01,0.56798000000000004
2015-06-01,0.57188000000000005
2015-07-01,0.58083999999999991
2015-08-01,0.58670000000000000
2015-09-01,0.58576000000000006
2015-10-01,0.58006000000000002
2015-11-01,0.57371000000000005
2015-12-01,0.58277000000000001
2016-01-01,0.58976000000000006
2016-02-01,0.59072999999999998
2016-03-01,0.58825000000000005
2016-04-01,0.58889999999999998
2016-05-01,0.58928999999999998
2016-06-01,0.57467999999999997
2016-07-01,0.51359999999999995
2016-08-01,0.40612999999999999
