date,France,Australia,Germany,Japan,Switzerland,Britain,USA
05-2002,-0.01005413367237451,-0.0231130017531882,-0.007642117164078144,0.054267599065146666,0.02772681512447006,-0.01885497481934517,-0.01051
06-2002,-0.07248451611940754,-0.10321229469435489,-0.05988617269636998,-0.0704360566055443,-0.044883260120492596,-0.07575220981225572,-0.070259
07-2002,-0.1703384063241128,-0.12007146058677065,-0.1750881572374543,-0.04018137408318323,-0.18073123028180704,-0.1359469029670024,-0.081125
08-2002,-0.06236399260635306,-0.0414565946779204,-0.06063490720929432,-0.007378473918616124,-0.013573882217281952,-0.02399104403241492,0.007949
09-2002,-0.20399860054927976,-0.03805194444683757,-0.26033305282258057,-0.003897843639808385,-0.12460789890409274,-0.18704618260514327,-0.099923
10-2002,0.13390636798409528,0.02452228078973584,0.12702819629376982,-0.045858114659343086,0.07773874908179879,0.07470969313552511,0.07494
11-2002,0.04512544928288431,-0.04814369661685358,0.026261325791583134,0.04693346048602143,0.06262654208703466,0.0030207210596766565,0.061282
12-2002,-0.04189948310052216,-0.015849166733057585,-0.07475531637596844,-0.04222027185213362,-0.03643899538527362,-0.05989956860623358,-0.053334
01-2003,-0.06263712132049948,-0.04873925525382128,-0.05501834326731203,-0.013778358427136372,-0.04971648777438986,-0.1299113591326876,-0.023367
02-2003,-0.08405188753248338,-0.08058507528129788,-0.08472223495041176,0.008830845859889136,-0.06466234401801552,-0.023678002226956263,-0.015417
03-2003,-0.09406555483477619,-0.01879406108141235,-0.08730823316316849,-0.019018171109949522,-0.05607825330661864,-0.05452835829634828,0.010321
04-2003,0.15582355216386734,0.05063391240780657,0.2139983908998191,0.02710531040314179,0.17685771993898358,0.10666392868291119,0.082768
05-2003,0.030001845664315407,-0.012307896330928214,0.02027345202600106,0.060553659483977174,0.013881945280502128,0.059996340651901736,0.063471
06-2003,-0.010545600045491321,-0.03958245874932054,0.021769191228790064,0.08679915903366076,0.025306827502517337,-0.04047957747832487,0.016346
07-2003,-0.05869127290606602,-0.07831482810802082,-0.03439447891751235,0.05038845624738486,-0.009430303426576803,-0.03822328311637779,0.023112
08-2003,0.02341463843242164,-0.020414321076293263,-0.0006517241325720846,0.07647181222710797,0.04193462885032806,-0.022057253132066634,0.024965
09-2003,0.014660623380346127,0.023959972347004088,0.00918947930716485,0.03646894760157271,0.06356451110485162,0.023774960019408375,-0.00912
10-2003,0.07495803825832081,0.04174977181406536,0.10493866785233363,0.03639824051025209,0.05869421351798132,0.04430452405867813,0.060361
11-2003,0.04351272701147235,-0.04444979208678013,0.04650710763044841,-0.0293403026801492,0.0768735731379675,0.008602951244393253,0.016594
12-2003,0.010532363221161356,-0.011814479456693228,0.012081685188689129,0.05314264665467339,0.017485217941900055,0.0020924152322776557,0.045476
01-2004,0.019101398607088038,-0.07683673991760609,0.027214329622905042,0.015189252585058877,0.06063770150374803,-0.024351664532745954,0.023042
02-2004,-0.06555954792855656,-0.08640787991980803,-0.0938858751561299,0.04103340005510758,-0.05514720534609785,-0.06399484680492251,0.015443
03-2004,-0.07878519012435314,-0.07559742264216784,-0.09022424540414842,0.10815004305890308,-0.050223957234781236,-0.10156456528652225,-0.010662
04-2004,0.00027245369692363575,-0.11432460736630612,0.019216934169244082,0.03682696233131233,0.05419971453392447,-0.04234588213383339,-0.024222
05-2004,0.04417830827820812,-0.009026192883485717,0.020691713772372444,-0.029463104641021753,0.04036095720420474,-0.0001115973663823322,0.014068
06-2004,0.052207651638171315,0.032197245039013556,0.054881288177747845,0.06048654541774945,0.03726818355203232,0.002305879525521526,0.021611
07-2004,-0.031061428405156466,0.0197155447825359,-0.04281612951407987,-0.029803834177724142,-0.0318860262788806,-0.05023592455824222,-0.037698
08-2004,-0.02278882710137209,-0.01365456107453511,-0.03980576675449632,0.006864853793326908,-0.032179469517188974,-0.05658124858889235,0.002703
09-2004,0.02488831530642943,0.012176959063914028,0.03495617749668467,-0.005896901927351705,0.04055727922388663,-0.006246789823774579,0.020556
10-2004,0.06202885950446313,0.0628572456508052,0.05769643675216529,0.0029176636747483276,0.06743591279004235,0.028405376750975098,0.017806
11-2004,0.04564395902004792,0.02290843743440374,0.07165068869895586,0.03468006774625776,0.05791352673013983,0.04830118504756542,0.048214
12-2004,-0.019640967403770526,-0.050504446191977026,-0.015286274210020379,0.07155158535649275,0.0037076312866732852,-0.029633848726119627,0.03517
01-2005,-0.013294065730014681,-0.04201346417036489,-0.03454727769642818,0.023896453865084544,-0.020347040885245526,-0.03729718961188144,-0.026546
02-2005,0.022067045338885816,0.0030600660961210835,0.013081783800113822,0.052228540992557915,0.04857944912563683,-0.025609615949047537,0.022646
03-2005,0.019587399767175606,-0.05025553071318467,0.008523217770535885,0.039565185069528774,0.03114957867105217,-0.006013269625310014,-0.016944
04-2005,-0.028038389226446303,-0.08860831396601954,-0.030571761900784256,-0.011924301227609235,0.003557404426883237,-0.06308189463921532,-0.025206
05-2005,0.013769256799765595,-0.001839354468750276,0.008920079603149,0.04285638691472038,0.009590706485323564,-0.01049048022733401,0.037954
06-2005,0.05387767769285845,0.017820611655582796,0.051510722149868515,0.06226316851026259,0.04318420627310304,-0.016251953181588674,0.011529
07-2005,0.10701531272891152,0.006143679973498628,0.11883398384342914,0.05134248370261041,0.1274316497646204,0.07103270437858655,0.043358
08-2005,0.03958101363427391,0.0040999606480143225,0.04668843324407945,0.0895181332269731,0.05769849243138736,0.02853474922492749,-0.005958
09-2005,0.05102303751717496,0.036293464278976506,0.04428112654350391,0.15642873837638527,0.09742082736807745,0.0388908825707901,0.0106
10-2005,-0.059113946727041955,-0.0862917472888659,-0.045365665408175215,0.06385060010858234,-0.004005087830860732,-0.07122811684033503,-0.020866
11-2005,0.06213190267633384,0.029502151678103106,0.0718745564786587,0.10509104948035652,0.09183952119784156,0.02630666747949717,0.040326
12-2005,0.0932560929794779,0.043282665090281336,0.09799962573612264,0.12413962118623112,0.10309856546168739,0.07713161670834667,0.003458
01-2006,0.07031529721500851,0.0388789369985878,0.08002142948739066,0.07659990647079717,0.06634734487073213,0.026142813000532783,0.040072
02-2006,0.03596169495647161,-0.03027528041357741,0.05510233344517368,0.012808210584705937,0.054677940174356454,0.014062340734964485,-0.001639
03-2006,0.062036813793227674,0.03889239116151488,0.051087812040592206,0.09497619606249841,0.060144125426412565,0.03863204094161521,0.019065
04-2006,0.08025056709866507,0.07090413306080712,0.08669372056572233,0.03885894079989205,0.1316183946904027,0.08165498963730378,0.013
05-2006,-0.03181568760770803,-0.05927477960821015,-0.04241617539607734,-0.028085097653843816,-0.027285384479530994,-0.052753523499579846,-0.031032
06-2006,0.015959214216940687,0.014681732261952796,-0.001804435890984335,0.05238251313122255,0.01474685703807499,0.012329866267937195,-0.000391
07-2006,0.0021124424381944173,-0.04350930253799423,-0.004410679901046155,0.0349389352063475,0.021534016466960404,-0.011675255563640352,-0.001912
08-2006,0.055249465101048,0.04738481174460807,0.05047925768982764,0.09031456969261731,0.06740017648551255,0.02054025321816355,0.025042
09-2006,0.026823943360107627,-0.014519465786256402,0.0414421272125991,0.03965005749382444,0.0721896636044228,0.016411265632251926,0.019425
10-2006,0.05116425043552808,0.046968741004772996,0.0658603532222577,0.05478916576190129,0.07452600546251698,0.021961984698021242,0.037153
11-2006,0.05487005389595012,0.04270108299519104,0.05460542104006816,0.03947974178734048,0.0637998941349538,0.030873638081021726,0.023737
12-2006,0.052824653154027956,0.02375290653048001,0.05577120976334915,0.09449499937663297,0.06480399551993243,0.036185647590349035,0.010857
01-2007,0.011032287069872027,-0.017358068589186537,0.0344661204921366,0.07208839367797681,0.057297302405934225,-0.023479765243705875,0.019387
02-2007,-0.008400870501895419,0.002070398615343194,-0.004863988815530629,0.06288332888539361,-0.006001004544903044,-0.0379152740432106,-0.014006
03-2007,0.08346937160296353,0.0722385594624615,0.08509514944743346,0.03144658379832743,0.0964257872803288,0.05346204829818513,0.012954
04-2007,0.05363312970219525,0.01579953621779806,0.060482459932241994,0.03722521498779652,0.07987886514110754,0.01796044415417697,0.039834
05-2007,0.03491202676850014,0.025618321672817634,0.04285554936681435,0.07384794361907665,0.014658815827425897,0.028617052159243928,0.038953
06-2007,0.01884858754513674,-0.025726222347162597,0.020300198744120035,0.05663487079690577,0.022751327950025768,-0.014769086640241902,-0.014747
07-2007,-0.042492673176968365,-0.07029564394884447,-0.03467811846861124,0.0035923675383158216,0.003085420482905721,-0.051555887410310475,-0.03179
08-2007,0.01968613510081041,-0.0008448635664384252,0.03399407149132627,-0.00920671902423209,0.04690275438489522,-0.008766158696427828,0.011593
09-2007,0.009784469226106651,0.07394922610036492,0.027781893289874793,0.05566924754405789,0.021658710222772992,-0.011328289968450367,0.040822
10-2007,0.0720963045344476,0.0582921789465114,0.06998093957456408,0.05025525625675842,0.09024419768340497,0.057415326739298944,0.02591
11-2007,-0.0549810956051493,-0.10582422818128723,-0.05044091003557405,-0.012713503800970916,-0.04150285552905664,-0.08603653805860167,-0.049362
12-2007,-0.022255692720582143,-0.09985358847133885,0.0031046277315216475,0.006903372005541142,0.027629855018521665,-0.05035482794504831,-0.004405
01-2008,-0.17417291308403893,-0.1116469943029833,-0.16358294777269455,-0.06349176297753878,-0.1291326718043122,-0.12206386404132963,-0.062218
02-2008,0.027503000774704356,-0.01022736406871294,0.04402603215684775,0.006925624643365769,0.08369189843644675,0.026938369196493728,-0.021697
03-2008,-0.03434820140294437,-0.09538561241109134,-0.04173898465515535,-0.05033148709021362,-0.06850442618911001,-0.03333207648941905,-0.010444
04-2008,0.03444614575754312,-0.018818849049645925,0.018140326934656947,0.1250786834501323,0.03261814700643084,0.016475991380200172,0.051199
05-2008,-0.053461842006992555,-0.03240319871050712,-0.05336510732619226,0.05523847084423483,-0.05166781350973304,-0.05548767492212803,0.023935
06-2008,-0.13794914824308446,-0.12664615767305343,-0.10786693458406571,-0.04132175016709283,-0.07338976836547628,-0.08371052625788278,-0.078436
07-2008,-0.078536672292143,-0.20180596646509896,-0.06648742509350691,0.0067759551981495525,-0.004877928578479129,-0.10568358175114512,-0.013413
08-2008,-0.03821498824545033,-0.08171661912256001,-0.06698809347639911,-0.01587365591283063,-0.0019790972222355485,-0.028915783546717977,0.010597
09-2008,-0.18943961673451226,-0.2881456378489686,-0.18235497935082112,-0.10766549507253009,-0.10844274355362737,-0.21256009886725924,-0.098172
10-2008,-0.11760187713205239,-0.1053348554976139,-0.21722068378093673,-0.17061162147251785,-0.06575103006467098,-0.15993635438218767,-0.184833
11-2008,0.027980712605838454,0.008353484030293012,0.034527920793227196,-0.016747274534959722,0.027672999053294123,-0.02557436715493655,-0.084681
12-2008,0.034460957877274656,0.14880546338474876,0.08197174556167253,0.04200235047047629,0.016802305259312367,0.05747876805454888,0.022232
01-2009,-0.07183440747790626,-0.07058565855309074,-0.09681188560425313,-0.07193503587373662,-0.027230427216389463,0.01954655151748841,-0.077471
02-2009,-0.14483109378975345,-0.06532231351608209,-0.15010343177455643,-0.03700665047764928,-0.1215578256832649,-0.056649472244117205,-0.100166
