date,France,Australia,Germany,Japan,Switzerland,Britain,USA
04-2002,-0.010538074402538955,0.012587393886620557,-0.011617355534036755,0.05609389111136709,0.03682016011976019,-0.0018058611693845261,-0.0496
05-2002,0.013428325686344111,0.03325610901124221,0.015840342194640478,0.06190576177841334,0.03487740431577402,0.004701650611174113,-0.01051
06-2002,-0.044849813860680654,-0.051421427114446305,-0.03225147043764309,-0.041865967944986315,-0.03919674508050364,-0.03750765477360496,-0.070259
07-2002,-0.1179565778816748,-0.059533418733258014,-0.1227063287950163,-0.06638012526707948,-0.14709076600299242,-0.10105338787933182,-0.081125
08-2002,-0.0020766394785649567,0.025970069563622022,-0.00034755408150621836,-0.04121331187431432,0.007842454424460188,0.015599142280778633,0.007949
09-2002,-0.1480850880655289,-0.033042018364472514,-0.2044195403388297,-0.04355327360905181,-0.08952440042089427,-0.11373533351166087,-0.099923
10-2002,0.13321270171858668,0.032544960457485894,0.12633453002826123,-0.04343138506365096,0.0496457697420456,0.08389148284320247,0.07494
11-2002,0.0651027060635232,-0.0035722390147845395,0.04623858257222202,0.03149347185665907,0.05741375521217229,0.042027546580238884,0.061282
12-2002,-0.02525911740604947,0.026148198317262672,-0.05811495068149575,-0.02867469505223008,-0.044472430060166324,-0.03231982964202351,-0.053334
01-2003,-0.026153717881296723,0.007503601889035982,-0.018534939828109276,-0.03007867550997423,-0.03874117181690839,-0.0939053559673585,-0.023367
02-2003,-0.051315090069185665,-0.04373225147940907,-0.05198543748711404,0.0025191063363856347,-0.05361252397610572,0.011202462256526768,-0.015417
03-2003,-0.038018336676569175,0.05469192753878693,-0.03126101500496148,-0.04060087947977309,-0.02068105667665643,-0.009890761215090027,0.010321
04-2003,0.18449131694451104,0.10896515275778107,0.2426661556804628,0.03705223431176785,0.17819988586200974,0.12457225166281871,0.082768
05-2003,0.04294644981028539,0.03367158654348423,0.033218056171971044,0.04102658395726766,0.0023841875436136917,0.06775070908277425,0.063471
06-2003,0.0067227080824279195,0.011508813071128055,0.039037499356709304,0.07420528460328857,0.004209870936530358,-0.02011521176584452,0.016346
07-2003,0.017362568407488288,0.021560516154274234,0.041659362396041955,0.04107102385093908,0.033044215838262225,0.018069606698731366,0.023112
08-2003,0.044448632152443546,0.046804602856916455,0.02038226958744982,0.10024669166961675,0.026192232142007166,0.026933819605852616,0.024965
09-2003,-0.0017036466758781899,0.055162933862337615,-0.0071747907490594676,0.07505746128478319,0.02361939561711135,0.025717551806993644,-0.00912
10-2003,0.06651982444397841,0.06630972338058605,0.09650045403799123,0.029210791688238924,0.03448561358516189,0.053292239871513436,0.060361
11-2003,0.0642603436407867,0.016453659892354144,0.06725472425976275,-0.02626288623261075,0.0721569364536554,0.05139833153801243,0.016594
12-2003,0.06152060203066401,0.08164001941293764,0.06306992399819178,0.05698182947931074,0.04731144321579417,0.07229390262317859,0.045476
01-2004,0.029047553797865167,-3.47537345316562e-05,0.03716048481368217,0.0013677633607371842,0.04410508875844088,0.012107990701889504,0.023042
02-2004,-0.00410085971335572,-0.00684379777395705,-0.032427186940929054,0.014759066110802799,-0.010698599156822808,0.005330633836611698,0.015443
03-2004,-0.04078925250282406,0.01554061010035701,-0.05222830778261933,0.10643830423055634,-0.038771482380697164,-0.02509447728127001,-0.010662
04-2004,0.01012144879108412,-0.062476168853930925,0.029065929263404566,-0.013666742257086417,0.04067960884220723,0.014705449862880027,-0.024222
05-2004,0.022427275389419687,-0.0031330654703584093,-0.001059319116415991,-0.015400206225909874,0.00431175915294868,0.01011244586180804,0.014068
06-2004,0.036081627919210435,0.06503864044989927,0.038755264458786964,0.04629746359897813,0.011177022763088296,0.0224048565475905,0.021611
07-2004,-0.024664051263989073,0.001372712591215075,-0.03641875237291248,-0.05138191137015924,-0.0331938436439404,-0.027310015179949465,-0.037698
08-2004,-0.006022196646826572,0.008666450432781359,-0.023039136299950802,-0.007742329692395078,-0.017259977793311454,0.0008716922621716527,0.002703
09-2004,0.03756333267091905,0.08181772596603332,0.047631194861174286,-0.011563118219344859,0.03192071815399644,0.03375102307627453,0.020556
10-2004,0.056856432198631346,0.08919724006499319,0.05252400944633351,0.02246460824919505,0.03961302609508266,0.043642443748480364,0.017806
11-2004,0.04751280444252792,0.04230258734299608,0.07351953412143586,0.021547607607389052,0.04132045867487055,0.05921047133554014,0.048214
12-2004,0.0012450650982211986,0.02544115710910444,0.005599758291971346,0.05259837124012057,0.010108362463366882,0.0027617354351112677,0.03517
01-2005,0.022078817569623377,0.03881808823525046,0.000825605603209878,-0.016495512722873862,0.013264071492616658,0.016082197520939312,-0.026546
02-2005,0.047892258926636844,0.027683858931011995,0.03890699738786485,0.022579396872079993,0.049253218351192674,0.033873620112649716,0.022646
03-2005,-0.010301806096581267,-0.022820573058461413,-0.02136598809322099,-0.0074426868409736,-0.019802697728403484,-0.012459403649991319,-0.016944
04-2005,-0.04612738615296219,-0.0421491590364419,-0.04866075882730014,-0.0364041712405182,-0.03125646347872579,-0.0404168860952987,-0.025206
05-2005,0.01632412920009263,0.027630691614199065,0.011474952003476036,-0.00834936164179556,-0.002030056100845279,0.015807575652057704,0.037954
