observation_date,IR3TIB01JPM156N
2002-04-01,0.100000000000000006
2002-05-01,0.080000000000000002
2002-06-01,0.089999999999999997
2002-07-01,0.089999999999999997
2002-08-01,0.070000000000000007
2002-09-01,0.080000000000000002
2002-10-01,0.080000000000000002
2002-11-01,0.080000000000000002
2002-12-01,0.100000000000000006
2003-01-01,0.100000000000000006
2003-02-01,0.089999999999999997
2003-03-01,0.080000000000000002
2003-04-01,0.080000000000000002
2003-05-01,0.080000000000000002
2003-06-01,0.089999999999999997
2003-07-01,0.089999999999999997
2003-08-01,0.089999999999999997
2003-09-01,0.089999999999999997
2003-10-01,0.089999999999999997
2003-11-01,0.080000000000000002
2003-12-01,0.100000000000000006
2004-01-01,0.089999999999999997
2004-02-01,0.089999999999999997
2004-03-01,0.080000000000000002
2004-04-01,0.080000000000000002
2004-05-01,0.080000000000000002
2004-06-01,0.089999999999999997
2004-07-01,0.089999999999999997
2004-08-01,0.089999999999999997
2004-09-01,0.089999999999999997
2004-10-01,0.089999999999999997
2004-11-01,0.089999999999999997
2004-12-01,0.100000000000000006
2005-01-01,0.100000000000000006
2005-02-01,0.100000000000000006
2005-03-01,0.080000000000000002
2005-04-01,0.080000000000000002
2005-05-01,0.080000000000000002
2005-06-01,0.089999999999999997
2005-07-01,0.089999999999999997
2005-08-01,0.089999999999999997
2005-09-01,0.089999999999999997
2005-10-01,0.089999999999999997
2005-11-01,0.089999999999999997
2005-12-01,0.100000000000000006
2006-01-01,0.103599999999999998
2006-02-01,0.110000000000000001
2006-03-01,0.125500000000000000
2006-04-01,0.140000000000000013
2006-05-01,0.270000000000000018
2006-06-01,0.349999999999999978
2006-07-01,0.440000000000000002
2006-08-01,0.431999999999999995
2006-09-01,0.435999999999999999
2006-10-01,0.447000000000000008
2006-11-01,0.502000000000000002
2006-12-01,0.540000000000000036
2007-01-01,0.540000000000000036
2007-02-01,0.660000000000000031
2007-03-01,0.660000000000000031
2007-04-01,0.650000000000000022
2007-05-01,0.670000000000000040
2007-06-01,0.729999999999999982
2007-07-01,0.770000000000000018
2007-08-01,0.839999999999999969
2007-09-01,0.849999999999999978
2007-10-01,0.849999999999999978
2007-11-01,0.869999999999999996
2007-12-01,0.859999999999999987
2008-01-01,0.849999999999999978
2008-02-01,0.849999999999999978
2008-03-01,0.839999999999999969
2008-04-01,0.839999999999999969
2008-05-01,0.839999999999999969
2008-06-01,0.859999999999999987
2008-07-01,0.849999999999999978
2008-08-01,0.849999999999999978
2008-09-01,0.869999999999999996
2008-10-01,0.890000000000000013
2008-11-01,0.880000000000000004
2008-12-01,0.739999999999999991
2009-01-01,0.719999999999999973
2009-02-01,0.709999999999999964
2009-03-01,0.650000000000000022
2009-04-01,0.599999999999999978
2009-05-01,0.569999999999999951
2009-06-01,0.560000000000000053
2009-07-01,0.550000000000000044
2009-08-01,0.540000000000000036
2009-09-01,0.540000000000000036
2009-10-01,0.530000000000000027
2009-11-01,0.510000000000000009
2009-12-01,0.460000000000000020
2010-01-01,0.450000000000000011
2010-02-01,0.440000000000000002
2010-03-01,0.429999999999999993
2010-04-01,0.400000000000000022
2010-05-01,0.390000000000000013
2010-06-01,0.380000000000000004
2010-07-01,0.369999999999999996
2010-08-01,0.359999999999999987
2010-09-01,0.359999999999999987
2010-10-01,0.340000000000000024
2010-11-01,0.340000000000000024
2010-12-01,0.340000000000000024
2011-01-01,0.340000000000000024
2011-02-01,0.340000000000000024
2011-03-01,0.336150000000000004
2011-04-01,0.332859999999999989
2011-05-01,0.332139999999999991
2011-06-01,0.332139999999999991
2011-07-01,0.332139999999999991
2011-08-01,0.328569999999999973
2011-09-01,0.329290000000000027
2011-10-01,0.329290000000000027
2011-11-01,0.329290000000000027
2011-12-01,0.329290000000000027
2012-01-01,0.330770000000000008
2012-02-01,0.331669999999999909
2012-03-01,0.331669999999999909
2012-04-01,0.331669999999999909
2012-05-01,0.331669999999999909
2012-06-01,0.334550000000000014
2012-07-01,0.327270000000000005
2012-08-01,0.327270000000000005
2012-09-01,0.327270000000000005
2012-10-01,0.326359999999999983
2012-11-01,0.318180000000000018
2012-12-01,0.308180000000000009
2013-01-01,0.291819999999999913
2013-02-01,0.269089999999999996
2013-03-01,0.250000000000000000
2013-04-01,0.228179999999999994
2013-05-01,0.228179999999999994
2013-06-01,0.228179999999999994
2013-07-01,0.228000000000000008
2013-08-01,0.228000000000000008
2013-09-01,0.228000000000000008
2013-10-01,0.221000000000000002
2013-11-01,0.220000000000000001
2013-12-01,0.220000000000000001
2014-01-01,0.220000000000000001
2014-02-01,0.211999999999999994
2014-03-01,0.211999999999999994
2014-04-01,0.211999999999999994
2014-05-01,0.209999999999999992
2014-06-01,0.209999999999999992
2014-07-01,0.209999999999999992
2014-08-01,0.209999999999999992
2014-09-01,0.209999999999999992
2014-10-01,0.192000000000000004
2014-11-01,0.181999999999999995
2014-12-01,0.178999999999999992
2015-01-01,0.172999999999999987
2015-02-01,0.171000000000000013
2015-03-01,0.170000000000000012
2015-04-01,0.170000000000000012
2015-05-01,0.168999999999999900
2015-06-01,0.168999999999999900
2015-07-01,0.168999999999999900
2015-08-01,0.168999999999999900
2015-09-01,0.168999999999999900
2015-10-01,0.168999999999999900
2015-11-01,0.168999999999999900
2015-12-01,0.168999999999999900
2016-01-01,0.168999999999999900
2016-02-01,0.098000000000000004
2016-03-01,0.098000000000000004
2016-04-01,0.059999999999999998
2016-05-01,0.059999999999999998
2016-06-01,0.058999999999999997
2016-07-01,0.057999999999999899
2016-08-01,0.057999999999999899
2016-09-01,0.055999999999999897
2016-10-01,0.055999999999999897
2016-11-01,0.055999999999999897
2016-12-01,0.055999999999999897
2017-01-01,0.055999999999999897
2017-02-01,0.055999999999999897
2017-03-01,0.055999999999999897
2017-04-01,0.055999999999999897
2017-05-01,0.055999999999999897
2017-06-01,0.055999999999999897
2017-07-01,0.074999999999999997
2017-08-01,0.055999999999999897
2017-09-01,0.055999999999999897
2017-10-01,0.063000000000000000
2017-11-01,0.063000000000000000
2017-12-01,0.063000000000000000
2018-01-01,0.068000000000000005
2018-02-01,0.068000000000000005
2018-03-01,0.096999999999999906
2018-04-01,0.096999999999999906
2018-05-01,0.078000000000000000
2018-06-01,0.078000000000000000
2018-07-01,0.090999999999999998
2018-08-01,0.090999999999999998
2018-09-01,0.050000000000000003
2018-10-01,0.050000000000000003
2018-11-01,0.050000000000000003
2018-12-01,0.050000000000000003
2019-01-01,0.029999999999999999
2019-02-01,0.029999999999999999
2019-03-01,0.050000000000000003
2019-04-01,0.050000000000000003
2019-05-01,0.049000000000000002
2019-06-01,0.049000000000000002
2019-07-01,0.049000000000000002
2019-08-01,0.008999999999999999
2019-09-01,0.008999999999999999
2019-10-01,0.008999999999999999
2019-11-01,0.017999999999999999
2019-12-01,0.021000000000000001
2020-01-01,0.021000000000000001
2020-02-01,0.021000000000000001
2020-03-01,0.006000000000000000
2020-04-01,-0.039000000000000000
2020-05-01,-0.042000000000000003
2020-06-01,-0.042000000000000003
2020-07-01,-0.065000000000000002
2020-08-01,-0.065000000000000002
2020-09-01,-0.055000000000000000
2020-10-01,-0.055000000000000000
2020-11-01,-0.055000000000000000
2020-12-01,-0.055000000000000000
2021-01-01,-0.055000000000000000
2021-02-01,-0.055000000000000000
2021-03-01,-0.065000000000000002
2021-04-01,-0.065000000000000002
2021-05-01,-0.065000000000000002
2021-06-01,-0.071999999999999995
2021-07-01,-0.071999999999999995
2021-08-01,-0.071999999999999995
2021-09-01,-0.071999999999999995
2021-10-01,-0.071999999999999995
2021-11-01,-0.071999999999999995
2021-12-01,-0.049000000000000002
2022-01-01,-0.049000000000000002
2022-02-01,-0.049000000000000002
2022-03-01,-0.049000000000000002
2022-04-01,-0.049000000000000002
2022-05-01,-0.049000000000000002
2022-06-01,0.005000000000000000
2022-07-01,-0.031000000000000000
2022-08-01,-0.020000000000000000
2022-09-01,-0.016000000000000000
2022-10-01,-0.016000000000000000
2022-11-01,-0.016000000000000000
2022-12-01,-0.014999999999999999
2023-01-01,-0.006000000000000000
2023-02-01,0.001000000000000000
2023-03-01,-0.008000000000000000
2023-04-01,-0.001000000000000000
2023-05-01,-0.019000000000000000
2023-06-01,-0.003000000000000000
2023-07-01,-0.003000000000000000
2023-08-01,-0.003000000000000000
2023-09-01,0.024000000000000000
2023-10-01,-0.012000000000000000
2023-11-01,0.024000000000000000
2023-12-01,0.051999999999999998
2024-01-01,0.025000000000000001
